topic_id,word_id,response,percentage
3,topic-3-00194,and,26.0
3,topic-3-00195,i,61.0
3,topic-3-00196,will,80.0
3,topic-3-00197,give,51.0
3,topic-3-00198,the,54.0
3,topic-3-00199,water,94.0
3,topic-3-00200,to,95.0
3,topic-3-00201,the,74.0
3,topic-3-00202,little,82.0
3,topic-3-00203,hen,88.0
3,topic-3-00204,so,27.0
3,topic-3-00205,is,86.0
3,topic-3-00206,choking,67.0
3,topic-3-00207,on,86.0
3,topic-3-00208,nut,64.0
3,topic-3-00209,mountain,97.0
3,topic-3-00210,the,40.0
3,topic-3-00211,is,40.0
3,topic-3-00212,a,84.0
3,topic-3-00213,large,71.0
3,topic-3-00214,nut,78.0
3,topic-3-00215,kernel,60.0
3,topic-3-00216,and,92.0
3,topic-3-00217,is,77.0
3,topic-3-00218,choking,66.0
3,topic-3-00219,to,95.0
3,topic-3-00220,choke,92.0
3,topic-3-00221,to,89.0
3,topic-3-00222,death,98.0
3,topic-3-00223,on,47.0
3,topic-3-00224,it,63.0
3,topic-3-00225,the,72.0
3,topic-3-00226,bride,83.0
3,topic-3-00227,said,48.0
3,topic-3-00228,i,37.0
3,topic-3-00229,you,31.0
3,topic-3-00230,to,81.0
3,topic-3-00231,get,56.00000000000001
3,topic-3-00232,me,57.99999999999999
3,topic-3-00233,groom,11.0
3,topic-3-00234,it,23.0
3,topic-3-00235,is,57.99999999999999
3,topic-3-00236,stuck,20.0
3,topic-3-00237,in,68.0
3,topic-3-00238,the,56.00000000000001
3,topic-3-00239,branch,28.999999999999996
3,topic-3-00240,tree,66.0
3,topic-3-00241,the,57.99999999999999
3,topic-3-00242,the,73.0
3,topic-3-00243,little,75.0
3,topic-3-00244,rooster,93.0
3,topic-3-00245,ran,79.0
3,topic-3-00246,to,72.0
3,topic-3-00247,the,82.0
3,topic-3-00248,willow,82.0
3,topic-3-00249,tree,55.00000000000001
3,topic-3-00250,got,45.0
3,topic-3-00251,the,74.0
3,topic-3-00252,wreath,80.0
3,topic-3-00253,down,28.000000000000004
3,topic-3-00254,the,87.0
3,topic-3-00255,branch,92.0
3,topic-3-00256,and,77.0
3,topic-3-00257,ran,28.000000000000004
3,topic-3-00258,it,79.0
3,topic-3-00259,to,67.0
3,topic-3-00260,the,94.0
3,topic-3-00261,bride,98.0
3,topic-3-00262,and,38.0
3,topic-3-00263,the,28.999999999999996
3,topic-3-00264,bride,96.0
3,topic-3-00265,gave,67.0
3,topic-3-00266,the,59.0
3,topic-3-00267,the,71.0
3,topic-3-00268,red,86.0
3,topic-3-00269,silk,96.0
3,topic-3-00270,and,56.00000000000001
3,topic-3-00271,he,57.99999999999999
3,topic-3-00272,took,60.0
3,topic-3-00273,to,81.0
3,topic-3-00274,the,94.0
3,topic-3-00275,well,96.0
3,topic-3-00276,and,60.0
3,topic-3-00277,gave,52.0
3,topic-3-00278,him,84.0
3,topic-3-00279,some,62.0
3,topic-3-00280,water,98.0
3,topic-3-00281,which,51.0
3,topic-3-00282,he,71.0
3,topic-3-00283,little,73.0
3,topic-3-00284,rooster,94.0
3,topic-3-00285,ran,52.0
3,topic-3-00286,the,74.0
3,topic-3-00287,water,98.0
3,topic-3-00288,to,85.0
3,topic-3-00289,the,85.0
3,topic-3-00290,little,89.0
3,topic-3-00291,hen,95.0
3,topic-3-00292,who,35.0
3,topic-3-00293,the,50.0
3,topic-3-00294,he,85.0
3,topic-3-00295,got,67.0
3,topic-3-00296,the,60.0
