word_id,topic_id,correct_word,response,p_cloze,level
topic-1-00001,1,woman,woman,0.11,medium
topic-1-00002,1,lived,lived,0.12,medium
topic-1-00003,1,in,in,0.85,high
topic-1-00004,1,a,a,0.87,high
topic-1-00005,1,village,village,0.01,low
topic-1-00006,1,she,she,0.83,high
topic-1-00007,1,had,had,0.23,medium
topic-1-00008,1,gathered,gathered,0.0,low
topic-1-00009,1,a,a,0.09,medium
topic-1-00010,1,serving,serving,0.0,low
topic-1-00011,1,of,of,0.83,high
topic-1-00012,1,beans,beans,0.35,medium
topic-1-00013,1,and,and,0.45,medium
topic-1-00014,1,wanted,wanted,0.01,low
topic-1-00015,1,to,to,0.82,high
topic-1-00016,1,cook,cook,0.36,medium
topic-1-00017,1,them,them,0.64,high
topic-1-00018,1,so,so,0.18,medium
topic-1-00019,1,she,she,0.94,high
topic-1-00020,1,prepared,prepared,0.0,low
topic-1-00021,1,a,a,0.3,medium
topic-1-00022,1,fire,fire,0.17,medium
topic-1-00023,1,in,in,0.04,low
topic-1-00024,1,her,her,0.24,medium
topic-1-00025,1,fireplace,fireplace,0.22,medium
topic-1-00026,1,to,to,0.0,low
topic-1-00027,1,make,make,0.1,medium
topic-1-00028,1,it,it,0.02,low
topic-1-00029,1,burn,burn,0.04,low
topic-1-00030,1,faster,faster,0.12,medium
topic-1-00031,1,she,she,0.88,high
topic-1-00032,1,lit,lit,0.0,low
topic-1-00033,1,it,it,0.19,medium
topic-1-00034,1,with,with,0.72,high
topic-1-00035,1,a,a,0.52,medium
topic-1-00036,1,handful,handful,0.0,low
topic-1-00037,1,of,of,0.99,high
topic-1-00038,1,straw,straw,0.35,medium
topic-1-00039,1,while,while,0.01,low
topic-1-00040,1,she,she,0.29,medium
topic-1-00041,1,was,was,0.31,medium
topic-1-00042,1,pouring,pouring,0.01,low
topic-1-00043,1,the,the,0.78,high
topic-1-00044,1,beans,beans,0.43,medium
topic-1-00045,1,into,into,0.61,high
topic-1-00046,1,the,the,0.78,high
topic-1-00047,1,pot,pot,0.87,high
topic-1-00048,1,one,one,0.01,low
topic-1-00049,1,of,of,0.57,high
topic-1-00050,1,them,them,0.09,medium
topic-1-00051,1,fell,fell,0.73,high
topic-1-00052,1,unnoticed,unnoticed,0.0,low
topic-1-00053,1,to,to,0.14,medium
topic-1-00054,1,the,the,0.9,high
topic-1-00055,1,floor,floor,0.58,high
topic-1-00056,1,coming,coming,0.0,low
topic-1-00057,1,to,to,0.42,medium
topic-1-00058,1,rest,rest,0.14,medium
topic-1-00059,1,next,next,0.07,medium
topic-1-00060,1,to,to,0.9,high
topic-1-00061,1,a,a,0.04,low
topic-1-00062,1,piece,piece,0.08,medium
topic-1-00063,1,of,of,0.99,high
topic-1-00064,1,straw,straw,0.18,medium
topic-1-00065,1,soon,soon,0.01,low
topic-1-00066,1,afterward,afterward,0.0,low
topic-1-00067,1,a,a,0.02,low
topic-1-00068,1,glowing,glowing,0.0,low
topic-1-00069,1,coal,coal,0.08,medium
topic-1-00070,1,jumped,jumped,0.06,low
topic-1-00071,1,out,out,0.64,high
topic-1-00072,1,of,of,0.86,high
topic-1-00073,1,the,the,0.97,high
topic-1-00074,1,fireplace,fireplace,0.46,medium
topic-1-00075,1,and,and,0.82,high
topic-1-00076,1,landed,landed,0.31,medium
topic-1-00077,1,next,next,0.26,medium
topic-1-00078,1,to,to,0.97,high
topic-1-00079,1,them,them,0.0,low
topic-1-00080,1,the,the,0.4,medium
topic-1-00081,1,straw,straw,0.21,medium
topic-1-00082,1,said,said,0.0,low
topic-1-00083,1,dear,dear,0.0,low
topic-1-00084,1,friends,friends,0.01,low
topic-1-00085,1,where,where,0.0,low
topic-1-00086,1,do,do,0.03,low
topic-1-00087,1,you,you,0.38,medium
topic-1-00088,1,come,come,0.16,medium
topic-1-00089,1,from,from,0.89,high
topic-1-00090,1,the,the,0.7,high
topic-1-00091,1,coal,coal,0.23,medium
topic-1-00092,1,answered,answered,0.11,medium
topic-1-00093,1,i,i,0.64,high
topic-1-00094,1,jumped,jumped,0.01,low
topic-1-00095,1,from,from,0.55,high
topic-1-00096,1,the,the,0.91,high
